DATE-YMD,CHLA= NASA-combo satellite Chlorophyll (mg/m3),
1998-01-15,       0.383,
1998-02-15,       0.522,
1998-03-15,       0.659,
1998-04-15,       0.979,
1998-05-15,       0.714,
1998-06-15,       0.490,
1998-07-15,       0.295,
1998-08-15,       0.437,
1998-09-15,       0.553,
1998-10-15,       0.410,
1998-11-15,       0.465,
1998-12-15,       0.548,
1999-01-15,       0.409,
1999-02-15,       0.449,
1999-03-15,       0.606,
1999-04-15,       0.749,
1999-05-15,       0.797,
1999-06-15,       0.399,
1999-07-15,       0.537,
1999-08-15,       0.320,
1999-09-15,       0.373,
1999-10-15,       0.481,
1999-11-15,       0.478,
1999-12-15,       0.352,
2000-01-15,       0.415,
2000-02-15,       0.384,
2000-03-15,       0.512,
2000-04-15,       1.373,
2000-05-15,       0.908,
2000-06-15,       0.574,
2000-07-15,       0.387,
2000-08-15,       0.239,
2000-09-15,       0.262,
2000-10-15,       0.378,
2000-11-15,       0.455,
2000-12-15,       0.384,
2001-01-15,       0.347,
2001-02-15,       0.390,
2001-03-15,       1.441,
2001-04-15,       1.255,
2001-05-15,       0.649,
2001-06-15,       0.419,
2001-07-15,       0.308,
2001-08-15,       0.277,
2001-09-15,       0.377,
2001-10-15,       0.497,
2001-11-15,       0.364,
2001-12-15,       0.298,
2002-01-15,       0.379,
2002-02-15,       0.613,
2002-03-15,       0.735,
2002-04-15,       1.257,
2002-05-15,       1.074,
2002-06-15,       0.487,
2002-07-15,       0.521,
2002-08-15,       0.356,
2002-09-15,       0.298,
2002-10-15,       0.602,
2002-11-15,       0.547,
2002-12-15,       0.422,
2003-01-15,       0.397,
2003-02-15,       0.421,
2003-03-15,       0.716,
2003-04-15,       1.485,
2003-05-15,       1.115,
2003-06-15,       0.626,
2003-07-15,       0.434,
2003-08-15,       0.426,
2003-09-15,       0.456,
2003-10-15,       0.520,
2003-11-15,       0.636,
2003-12-15,       0.518,
2004-01-15,       0.430,
2004-02-15,       0.599,
2004-03-15,       1.077,
2004-04-15,       2.172,
2004-05-15,       1.622,
2004-06-15,       0.977,
2004-07-15,       0.428,
2004-08-15,       0.367,
2004-09-15,       0.353,
2004-10-15,       0.829,
2004-11-15,       0.663,
2004-12-15,       0.448,
2005-01-15,       0.441,
2005-02-15,       0.450,
2005-03-15,       0.653,
2005-04-15,       1.722,
2005-05-15,       2.301,
2005-06-15,       0.554,
2005-07-15,       0.331,
2005-08-15,       0.390,
2005-09-15,       0.283,
2005-10-15,       0.519,
2005-11-15,       0.635,
2005-12-15,       0.385,
2006-01-15,       0.307,
2006-02-15,       0.522,
2006-03-15,       0.962,
2006-04-15,       1.554,
2006-05-15,       1.464,
2006-06-15,       1.003,
2006-07-15,       0.534,
2006-08-15,       0.362,
2006-09-15,       0.322,
2006-10-15,       0.662,
2006-11-15,       0.628,
2006-12-15,       0.430,
2007-01-15,       0.425,
2007-02-15,       0.537,
2007-03-15,       0.461,
2007-04-15,       0.800,
2007-05-15,       1.365,
2007-06-15,       0.466,
2007-07-15,       0.342,
2007-08-15,       0.257,
2007-09-15,       0.330,
2007-10-15,       0.399,
2007-11-15,       0.556,
2007-12-15,       0.383,
2008-01-15,       0.414,
2008-02-15,       0.398,
2008-03-15,       1.369,
2008-04-15,       1.615,
2008-05-15,       0.758,
2008-06-15,       0.585,
