"Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"abind","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","1.4-5",NA,"R (>= 1.5.0)","methods, utils",NA,NA,NA,"LGPL (>= 2)",NA,NA,NA,NA,"no","4.3.1"
"alabama","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","2023.1.0",NA,"R (>= 2.10.1), numDeriv",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.1"
"Amelia","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","1.8.1",NA,"R (>= 3.0.2), Rcpp (>= 0.11)","foreign, utils, grDevices, graphics, methods, stats, rlang","Rcpp (>= 0.11), RcppArmadillo","tcltk, broom, rmarkdown, knitr",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.1"
"anytime","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","0.3.9",NA,"R (>= 3.2.0)","Rcpp (>= 0.12.9)","Rcpp (>= 0.12.9), BH","tinytest (>= 1.0.0), gettz",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.1"
"aod","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","1.3.2",NA,"R (>= 2.10), methods, stats",NA,NA,"MASS, boot, lme4",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.1"
"ape","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","5.7-1",NA,"R (>= 3.2.0)","nlme, lattice, graphics, methods, stats, utils, parallel, Rcpp
(>= 0.12.0), digest","Rcpp","gee, expm, igraph, phangorn",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.3.1"
"arm","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","1.13-1",NA,"R (>= 3.1.0), MASS, Matrix (>= 1.0), stats, lme4 (>= 1.0)","abind, coda, graphics, grDevices, methods, nlme, utils",NA,NA,NA,"GPL (> 2)",NA,NA,NA,NA,"no","4.3.1"
"asaur","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","0.50",NA,NA,NA,NA,NA,NA,"CC0",NA,NA,NA,NA,"no","4.3.1"
"AsioHeaders","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","1.22.1-2",NA,NA,NA,NA,NA,NA,"BSL-1.0",NA,NA,NA,NA,"no","4.3.1"
"askpass","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","1.2.0",NA,NA,"sys (>= 2.1)",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.1"
"assertthat","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","0.2.1",NA,NA,"tools",NA,"testthat, covr",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.1"
"autoReg","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","0.3.2",NA,"R (>= 2.10)","moonBook(>= 0.3.0), nortest, dplyr, crayon, stringr, tidyr,
purrr, survival, mice, officer, flextable, rlang, patchwork,
ggplot2, boot, broom, tidycmprsk, scales, maxstat, pammtools",NA,"knitr, finalfit, lme4, TH.data, rmarkdown, survminer, asaur,
cmprsk, PairedData",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.1"
"backports","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","1.4.1",NA,"R (>= 3.0.0)",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.3.1"
"base64enc","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","0.1-3",NA,"R (>= 2.9.0)",NA,NA,NA,"png","GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.3.1"
"basefun","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","1.1-4",NA,"variables (>= 1.1-0), R (>= 3.2.0)","stats, polynom, Matrix, orthopolynom, methods",NA,"coneproj",NA,"GPL-2",NA,NA,NA,NA,"yes","4.3.1"
"bayesplot","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","1.10.0",NA,"R (>= 3.1.0)","dplyr (>= 0.8.0), ggplot2 (>= 3.0.0), ggridges, glue,
posterior, reshape2, rlang (>= 0.3.0), stats, tibble (>=
2.0.0), tidyselect, utils",NA,"ggfortify, gridExtra (>= 2.2.1), hexbin, knitr (>= 1.16), loo
(>= 2.0.0), RColorBrewer, rmarkdown (>= 1.0.0), rstan (>=
2.17.1), rstanarm (>= 2.17.4), rstantools (>= 1.5.0), scales,
shinystan (>= 2.3.0), survival, testthat (>= 2.0.0), vdiffr (>=
1.0.2)",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.3.1"
"bayestestR","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","0.13.1",NA,"R (>= 3.6)","insight (>= 0.19.1), datawizard (>= 0.7.0), graphics, methods,
stats, utils",NA,"BayesFactor (>= 0.9.12-4.4), bayesQR, bayesplot, BH, blavaan,
bridgesampling, brms, curl, effectsize, emmeans, gamm4, ggdist,
ggplot2, glmmTMB, httr, KernSmooth, knitr, lavaan, lme4,
logspline, MASS, mclust, mediation, modelbased, parameters,
patchwork, performance, quadprog, posterior, RcppEigen,
rmarkdown, rstan, rstanarm, see (>= 0.7.5), testthat, tweedie",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.1"
"bdsmatrix","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","1.3-6",NA,"methods, R (>= 2.0.0)",NA,NA,NA,NA,"LGPL-2",NA,NA,NA,NA,"yes","4.3.1"
"beeswarm","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","0.4.0",NA,NA,"stats, graphics, grDevices, utils",NA,NA,NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.3.1"
"BH","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","1.81.0-1",NA,NA,NA,NA,NA,NA,"BSL-1.0",NA,NA,NA,NA,"no","4.3.1"
"bigD","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","0.2.0",NA,"R (>= 3.2.0)",NA,NA,"covr, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"BiocManager","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","1.30.22",NA,NA,"utils",NA,"BiocVersion, remotes, rmarkdown, testthat, withr, curl, knitr",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.3.1"
"bit","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","4.0.5",NA,"R (>= 2.9.2)",NA,NA,"testthat (>= 0.11.0), roxygen2, knitr, rmarkdown,
microbenchmark, bit64 (>= 4.0.0), ff (>= 4.0.0)",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.3.1"
"bit64","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","4.0.5",NA,"R (>= 3.0.1), bit (>= 4.0.0), utils, methods, stats",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.3.1"
